__id	__seed	記録の扱い	タイトル	種類	領域	一言要約	タグ	頻度	最終実施日	何をしたか	いつ・どこで	自分の役割	関係者	結果・変化	証拠・具体例	紐づくID	期限	裁量	関係者の広さ	不確実性	条件タグ	好き度	消耗度	扱える範囲	数字・データ	言葉・文脈	人・利害	現場運用	制作・表現	技術・仕組み	振り返りメモ	反証・うまくいかなかった条件	次に試すこと・代替策	面接での利用	一言で言うと	再現できる条件	他社でも通じる言い換え	応募先・用途タグ
sample-work-physical-venue-operations	work-physical-venue-operations	事実	試合日の例外を、来場者導線と運営の課題として捉える	実例	仕事	雷雨・再入場・通路・屋根・案内不統一など、当日の問題を来場者体験と運用改善へつなげる。	試合運営 | 来場者導線 | 例外対応 | 危機対応	繰り返し		駒場での雷雨対応を振り返り、MDP売切、導線混乱、再入場案内不統一、通路座り込み、屋根不足等を課題として整理した	2026年7月の駒場戦に関する振り返り	広報・運営フィードバック	来場者、会場運営、広報、警備	当日の混乱を個別事象で終わらせず、案内・導線・準備の改善論点に変えた	"駒場運営フィードバック
当日案内メモ"		当日対応	中程度	社外含む	前例なし	現場運用あり | 判断期限あり | 関係者が多い | 前例なし	3	5	4	1	2	3	3	0	0	当日の『案内不足』は、文面だけでなく、誰がどこで何を判断するかの設計不足として見る。	現場で起きた例外を全て事前に潰すことはできない。	再入場・避難・待機に関する案内文と現場共有をセットで整える。	候補	当日の混乱を、来場者導線と運用ルールの改善に変える。	現場の一次情報を振り返りに使えるとき	イベントリスクマネジメント・オペレーション改善	PM | 運用
sample-work-copy-editing	work-copy-editing	事実	告知文・FAQ・注意書きを、重複なく行動につながる文章へ編集する	能力・知識	仕事	相手の不安・判断・行動を踏まえ、丁寧さを保ちながら冗長さを削る。	文章 | FAQ | 注意書き | 校正 | ユーザー導線	繰り返し		告知文、FAQ、社内説明、依頼文、注意書き、リリース等の言い換え・構造化を継続している	継続	起案・校正・編集	来場者、ファン、社内外関係者、メディア	読み手が次に取る行動を理解しやすい文章に整える	"告知原稿
FAQ
校正履歴
リリース原稿"		短納期	高い	社外含む	例外あり	文章化が必要 | 目的が明確 | 関係者が多い	5	2	5	0	3	3	2	3	0	同じ内容の繰り返しを削り、背景・対象・行動・例外を必要な順に並べる。	表現だけを整えても、運用ルール自体が曖昧なら問い合わせは減らない。	各文書に『読み手の次の行動』を明示してから編集する。	使う	複雑な案内を、誤解なく行動につながる文章に編集する。	読み手と目的行動が定義できる文書	UXライティング・編集	PARK | PR | 編集
sample-work-fact-checking	work-fact-checking	事実	公開前の事実確認を、文面・数字・表記の観点で行う	能力・知識	仕事	公開物の誤字脱字だけでなく、日付、年齢、規程、数値、対象、表現の整合を確認する。	ファクトチェック | 校正 | 公開前確認 | リスク管理	繰り返し		リリース、スケジュール、告知物、資料について、誤字脱字と事実誤認の確認を繰り返し行っている	継続	広報・最終確認	制作、社内依頼者、メディア、来場者	公開後の訂正や問い合わせにつながる不整合を減らす	"公開前原稿
修正履歴
規程・スケジュール資料"		短納期	高い	複数部署	定型	文章化が必要 | 判断期限あり | 目的が明確	3	3	4	2	3	1	2	0	1	表層の誤字より、対象・日付・前提・例外が読み手にどう伝わるかを見る。	元となる事実が更新中だと、校正だけで正確性を保証できない。	公開前チェックを『表記』『事実』『行動導線』の3分類にする。	候補	公開前の情報を、表記だけでなく事実と行動導線まで確認する。	一次情報の確認者が明確な案件	エディトリアルQA・コンテンツガバナンス	PR | 編集
sample-previous-user-log-analysis	previous-user-log-analysis	事実	ユーザーログを読み、行動の傾向を分析する	実例	仕事	ネットリサーチ会社で、ユーザーログなどのデータから行動や反応の傾向を読む実務を経験した。	マーケティングリサーチ | ログ分析 | データ | 前職	繰り返し		ネットリサーチ会社で、ユーザーログ分析や広告モニタリングに関わった	浦和レッズ入社前	分析・リサーチ担当	調査チーム、クライアント、関連部署	現在の販促・広報実務でも、数値と行動の関係を見る基礎になった	"職務経歴書
前職の担当領域"		期限あり	中程度	複数部署	定型	数字が見える | 目的が明確 | 文章化が必要	4	2	3	3	2	1	1	0	2	データの羅列より、行動の変化や比較対象を置いたときに解釈が進む。	ログだけでは、行動の動機や文脈を確定できない。	定量データに、現場・顧客の定性情報を重ねる方法を増やす。	使う	ユーザーデータから行動の傾向を読み、施策や仮説へつなげる。	データ定義と問いが共有されている分析案件	マーケティングリサーチ・行動データ分析	マーケティング | データ
sample-previous-tableau-r	previous-tableau-r	事実	TableauとRを使い、データを可視化・分析する	能力・知識	仕事	Tableauによるダッシュボード、Rを使った分析・可視化の経験を持つ。	Tableau | R | 可視化 | データ分析	繰り返し		前職および現在の文脈で、Tableau・Rを使ったデータ分析・可視化に取り組んできた	継続的な学習・実務経験	分析・可視化	自分、調査・事業関係者	数値を読みやすく共有する基礎技術を持つ	"職務経歴書
ダッシュボード・レポート作成経験"		期限あり	高い	複数部署	定型	数字が見える | 裁量あり | 目的が明確	4	2	3	3	1	1	1	1	3	可視化は見栄えより、比較・異常・変化を発見できることを優先する。	高度な分析ほど、前提・データ品質・解釈の説明が必要になる。	実務で使う指標を、ユーザー視点の問いと結びつけて再設計する。	候補	データを可視化し、関係者が変化と次の判断を読み取れる形にする。	用途と見る人が定まっているダッシュボード	BI・データビジュアライゼーション	データ | DX
sample-previous-ad-monitoring	previous-ad-monitoring	事実	広告・マーケティング施策を、観測可能な指標として捉える	能力・知識	仕事	広告モニタリングと販促実務の両方から、媒体・反応・行動をつなげて見る。	広告 | モニタリング | マーケティング | 効果測定	繰り返し		前職の広告モニタリング経験と、現在の広告・販促実務を横断している	前職〜現在	分析・販促	広告会社、社内関係者	広告を『出すこと』ではなく、目的・指標・行動導線で捉える視点を持つ	"前職の担当領域
現在の広告レポート・出稿検討"		期限あり	中程度	社外含む	例外あり	数字が見える | 目的が明確	4	2	3	3	2	2	1	1	1	媒体接触と実際の行動の間にある摩擦を意識する。	指標が取れるものだけを重視すると、長期的なブランド効果を見落とす。	短期CVと中長期の認知・好意を分けて整理する。	候補	広告を、目的・指標・行動導線のつながりとして考える。	施策目的と測定可能性を事前に確認できる案件	マーケティング効果測定	広告 | マーケティング
sample-skill-project-structure	skill-project-structure	事実	曖昧な違和感を、論点と判断基準に変える	能力・知識	仕事	『なんとなく違う』を、目的・対象・論点・リスク・修正案に分解して扱う。	言語化 | 編集 | 合意形成 | 判断基準	繰り返し		発信物や企画の違和感を、具体的な論点と修正案として整理している	継続	企画・編集	社内外の関係者	感覚論だけでなく、判断できる議論に変える	"校正コメント
企画資料の修正履歴
会話での論点整理"		期限あり	中程度	複数部署	例外あり	文章化が必要 | 目的が明確 | 関係者が多い	5	2	4	0	3	3	1	2	0	目的と受け手を決めると、感覚的な違和感も説明しやすくなる。	目的自体が割れていると、表現だけの議論では解決しない。	議論の冒頭で『今回の判断基準』を明文化する。	使う	曖昧な違和感を、関係者が判断できる論点に変える。	目的と受け手を合意できる案件	コミュニケーション設計・編集	PARK | SIGNING | 編集
sample-skill-stakeholder-alignment	skill-stakeholder-alignment	事実	関係者の多い案件で、確認事項と判断期限を揃える	能力・知識	仕事	目的、担当、期限、例外、確認順を整理し、進行で詰まる箇所を減らす。	調整 | 進行管理 | 合意形成 | PM	繰り返し		複数部署・外部関係者の案件で、確認事項と期限を整理して進行している	継続	進行・調整	社内外の複数関係者	漏れや認識差による手戻りを減らす	"進行表
確認依頼メール
会議メモ"		短納期	中程度	社外含む	例外あり	判断期限あり | 関係者が多い | 現場運用あり	3	4	4	0	1	3	3	0	1	依頼文に『何を・いつまでに・何のために』を置くと、返答が速い。	決裁権者がいない案件は、丁寧に整理しても進まない。	キックオフ時に意思決定者と判断期限を固定する。	使う	関係者の多い案件を、確認可能な進行に変える。	判断者と期限を確認できる案件	プロジェクトマネジメント・ステークホルダー調整	PM | Producer | ShapePartner
sample-skill-research-synthesis	skill-research-synthesis	自己観察	未知のテーマを、背景・歴史・論点・用語から調べて使える知識にする	能力・知識	学習	初心者向けの説明でも、背景や用語を飛ばさず、批判・歴史・実用まで構造化して理解する。	リサーチ | 構造化 | 解説 | 知識	繰り返し		音楽、社会概念、科学、スポーツ、技術など、未知のテーマを背景から調べ、使える説明へ整理している	継続	個人学習・編集	自分、必要に応じて仕事関係者	単なる要約ではなく、判断や会話に使える知識の形にする	"各種解説依頼・学習メモ
記事・動画・資料の要約"		余裕あり	高い	自分中心	前例なし	裁量あり | 目的が明確 | 文章化が必要 | 前例なし	5	2	4	1	3	0	1	2	1	知らない領域ほど、そもそもの前提・用語・対立点から入ると定着しやすい。	広く調べすぎると、今必要な行動や結論がぼやける。	調べ始める前に『何に使う知識か』を一行で置く。	候補	未知のテーマを、背景から理解し、使える知識の構造へ変える。	問いと用途が定まっている学習・調査案件	リサーチ・ナレッジデザイン	リサーチ | 戦略
sample-skill-english-reading	skill-english-reading	事実	英語の記事・一次情報を読んで、日本語の論点へ整理する	能力・知識	学習	海外記事や英語の資料を読み、背景・論点・実務への示唆を日本語で整理する。	英語 | リサーチ | 要約 | 海外事例	継続中		英語の記事を読み、業務や学習で使える日本語メモに整理している	継続	個人学習	自分・必要に応じて関係者	海外の事例や一次情報へアクセスする手段を持つ	"英語学習記録
海外記事の要点メモ"		余裕あり	高い	自分中心	例外あり	裁量あり | 目的が明確 | 文章化が必要	4	2	3	1	3	0	0	1	0	読むだけでなく、用途を決めて短く整理すると続く。	専門領域の細かいニュアンスは確認が必要。	英語の資料をもとに、5分で口頭説明する。	候補	海外の情報を、仕事で使える日本語の論点に変換できる。	読む目的と出力先が明確なとき	英語による情報収集と要点整理	英語 | リサーチ
sample-skill-english-speaking-practice	skill-english-speaking-practice	自己観察	英語を、正解探しではなく会話として練習する	習慣	学習	短い反応・コメント・質問を繰り返し、翻訳と完璧主義を減らしながら話す練習をしている。	英語 | 会話 | 習慣化 | 学習設計	継続中		英語の短文読解や会話テンプレートを、読む→説明する→問いを作る→確認する形で繰り返している	継続	個人学習	自分	英語を受け身の理解だけで終わらせず、出力する練習を積んでいる	"英語学習の定期ルール
会話テンプレートの練習記録"		余裕あり	高い	自分中心	定型	裁量あり | 目的が明確	3	2	2	0	3	2	1	1	0	短く反応してから質問する形だと、完璧な文を作ろうとして止まりにくい。	一人での練習だけでは、即時の聞き返しや緊張への耐性は育ちにくい。	1分間の要約を音声で録音し、言い直しを確認する。	まだ使わない				
sample-skill-excel-sheets	skill-excel-sheets	事実	Excel・Googleスプレッドシートで、業務用の表を設計・整形する	能力・知識	仕事	集計、比較、進行、例外処理、共有を意識して表をつくる。	Excel | Googleスプレッドシート | データ整形 | 業務改善	繰り返し		チケット・制作進行・KPI・日程・入稿情報などを、用途別に表へ整形している	継続	主担当・支援	自分、社内関係者、制作チーム	現場で使える一覧と進行管理に落とす	"集計表
進行表
TSV/CSV整形
KPIシート"		期限あり	高い	複数部署	定型	数字が見える | 裁量あり | 目的が明確	4	2	4	3	1	1	3	0	2	表の完成度は、入力者・確認者・次の判断者が迷わないかで見る。	関数や列を増やしすぎると、引き継ぎにくくなる。	定例表に『判断メモ』列を追加する。	使う	数字・進行・例外を、現場で使える表に整える。	入力する人と使う人の役割が見えているとき	業務設計・オペレーション改善	PM | DX | データ
sample-skill-powerpoint-story	skill-powerpoint-story	事実	PowerPointで、企画の背景から判断までをつなぐ資料をつくる	能力・知識	仕事	企画・進行・社内説明の資料を、背景、目的、論点、選択肢、次アクションで組み立てる。	PowerPoint | 企画書 | ストーリー | 合意形成	繰り返し		試合施策、KV制作、会見、広告、地域連携などの資料を作成・編集している	継続	企画・編集	社内外の関係者	情報の多い案件でも、意思決定しやすい資料にする	"企画資料
制作依頼資料
社内説明資料"		期限あり	高い	複数部署	例外あり	文章化が必要 | 関係者が多い | 判断期限あり	5	2	4	2	3	3	2	2	1	スライドを増やすより、相手が今決めることを中心に情報を削る。	情報が足りない状態で見栄えだけを整えると、判断が後ろ倒しになる。	各資料の冒頭に『今回決めたいこと』を固定表示する。	使う	複雑な企画を、関係者が判断・実行できる資料に組み立てる。	資料の読者と意思決定が明確な案件	企画書作成・プレゼンテーションデザイン	PM | Producer | 戦略
sample-skill-ai-workflow	skill-ai-workflow	事実	AIを、調査・構造化・制作・検証の補助として使う	能力・知識	仕事	文章整理、リサーチ、要件定義、コード制作、TSV/JSON整形などでAIを活用している。	AI | プロンプト | 業務改善 | 構造化	繰り返し		AIを使い、実務用の文章、企画の骨子、情報整理、Webツールの実装検討を行っている	継続	個人・業務補助	自分、必要に応じて関係者	手作業の整理を速め、考えるべき論点に時間を使う	"プロンプトメモ
AIを使ったアプリ・文章制作の履歴"		期限あり	高い	自分中心	前例なし	裁量あり | 前例なし | 文章化が必要 | 技術・仕組みを扱う	5	2	4	2	3	1	2	2	3	出力をそのまま使わず、目的・事実・トーン・例外を先に指定して検証する。	AIのもっともらしい誤りや、本人の言葉が消えるリスクがある。	入力・出力・検証の手順を、繰り返し作業ごとにテンプレート化する。	候補	AIを、情報の下ごしらえから検証まで含む実務フローに組み込む。	検証者と一次情報を確保できる業務	AI活用・ナレッジワーク設計	DX | AI | PM
sample-skill-domain-sports-business	skill-domain-sports-business	事実	スポーツ興行を、熱量と事業性の両方から理解する	能力・知識	仕事	試合、チケット、会員、広告、スポンサー、地域、来場体験を、クラブの収益と関係性の両面から見る。	スポーツビジネス | Jリーグ | チケット | ファン | 興行	繰り返し		浦和レッズでの広報・プロモーション実務を通じ、スポーツ興行、チケット、会員、広告、地域連携を横断している	浦和レッズ在籍3年目まで	広報・プロモーション	ファン、来場者、パートナー、地域、社内	スポーツの熱量と事業運営を切り離さずに考えるドメイン知識を得た	"担当領域の実務
チケット・広告・イベントの資料"		期限あり	中程度	社外含む	例外あり	関係者が多い | 数字が見える | 現場運用あり	5	2	4	2	3	3	3	2	1	ファンを『顧客』だけにせず、帰属・文化・地域との関係も含めて考える。	熱量に寄りすぎると、対象外の人にとっての障壁が見えない。	施策ごとに『既存ファン・新規・地域・事業』への影響を比較する。	使う	スポーツの熱量と事業性を両方踏まえ、来場・発信・関係づくりを設計する。	ファン・事業・地域の利害が重なるスポーツ案件	スポーツマーケティング・ファンエンゲージメント	スポーツ | ファンベース
sample-skill-domain-branding	skill-domain-branding	自己観察	ブランディングを、見た目ではなく判断と行動を変える設計として捉える	能力・知識	学習	MVV、パーセプションチェンジ、コピー、組織浸透を、表現と運用の両方から学んでいる。	ブランディング | MVV | パーセプションチェンジ | コピー	継続中		PARK等の事例研究や、理念宣言の実務を通じ、ブランドを『人が判断・行動するための共有物』として理解しようとしている	2026年の学習・実務	個人学習・広報設計	自分	転職先の検討と現職のコミュニケーション設計をつなげている	"PARKの事例研究
What Can I Do?の設計
パーセプションチェンジの学習メモ"		余裕あり	高い	自分中心	前例なし	裁量あり | 目的が明確 | 文章化が必要	5	2	3	0	3	2	2	3	0	ブランドは『らしさ』の装飾ではなく、何を大事にしてどう選ぶかを揃えるものとして見たい。	言葉を整えても、実際の接点や振る舞いが変わらなければ認識は変わらない。	事例を『言葉・体験・組織運用』の3層で比較する。	候補	ブランドを、表現だけでなく組織と顧客の判断を変える仕組みとして理解する。	理念・体験・運用を横断して考える案件	ブランド戦略・組織コミュニケーション	PARK | KESIKI | SIGNING
sample-skill-press-release-structure	skill-press-release-structure	事実	公式リリースを、情報の優先順位と問い合わせ導線で組み立てる	能力・知識	仕事	発表内容、背景、対象、日時、手続き、注意事項、問い合わせ先を、読み手の判断順に並べる。	プレスリリース | 公式サイト | 情報設計 | 広報	繰り返し		選手、イベント、払い戻し、注意喚起など、目的の異なる公式発表を構成・校正している	継続	広報・編集	ファン、メディア、来場者、社内関係者	目的の異なる公開情報を、誤解なく案内する	"公式サイトリリース
払い戻しリリース
注意喚起文"		短納期	中程度	複数部署	定型	文章化が必要 | 判断期限あり | 目的が明確	4	2	4	1	3	2	2	1	0	読者の関心が異なるため、最初に『何が起きたか』『自分に何が必要か』を置く。	社内の事情を丁寧に説明しすぎると、読者に必要な行動が埋もれる。	公開前に『初見の人が最初の30秒で分かること』を確認する。	使う	公式情報を、読み手の判断と行動に必要な順番で構成する。	目的・対象・手続きが明確な発信	コーポレートコミュニケーション・コンテンツ設計	PR | 編集
sample-project-countvoice	project-countvoice	事実	10秒ごとの読み上げカウントアプリを、実使用から改善する	実例	私生活	集中を支えるカウント読み上げアプリを、毎秒音・10秒ごとの読み上げ・iPhone表示・アイコンまで改善した。	個人開発 | JavaScript | 集中 | GitHub Pages	継続中		カウント読み上げアプリについて、10秒ごとの読み上げ、1分の単位読み上げ、開始後の設定変更、毎秒音、iPhone Safariのアイコン表示を検討・実装した	2026年6月	企画・実装・テスト	自分	自分の集中方法に合わせたブラウザツールを公開・改善した	"GitHub Pages：countvoice
iPhone Safariのホーム画面アイコン調整
機能要件メモ"		余裕あり	高い	自分中心	前例なし	裁量あり | 前例なし | 技術・仕組みを扱う	5	3	3	1	2	0	2	2	3	自分が毎日使うから、機能の不足やUIの不快さを具体的に発見できる。	機能追加を続けると、核となる『数える』体験がぼやける。	利用感から、残す機能と削る機能を月1回見直す。	候補	自分の集中課題を、試作と実使用で改善する小さなWebアプリに変える。	利用者として自分が継続検証できる環境	ユーザー起点のプロトタイピング	DX | プロダクト | UX
sample-project-kakidas	project-kakidas	事実	文章・段落・単語をメモ化するアプリを、利用から仕様へ育てる	実例	私生活	メモの粒度、タグ、並び順、モバイル入力、ファイル数など、使う中で出る問題を仕様へ変える。	個人開発 | メモ | React | UIUX | 情報整理	継続中		kakidas系のメモアプリで、段落・文・単語のメモ化、作成順・更新順、単一タグ、タグ管理、スマホ入力の画面ずれ、ファイル数削減などを継続して検討・実装している	2026年6月	企画・仕様設計・実装	自分	情報を粒度別に残し、後から探せる個人ツールを育てている	"kakidas開発ログ
モバイル入力不具合の検討
タグ管理仕様"		余裕あり	高い	自分中心	前例なし	裁量あり | 前例なし | 技術・仕組みを扱う | 文章化が必要	5	3	3	1	3	0	2	2	3	抽象的な機能要求より、自分が入力中に困った瞬間から仕様を起こすと精度が上がる。	メモの粒度を増やしすぎると、保存や閲覧の負荷が増える。	利用頻度の低い機能を削り、主要導線を3つに絞る。	候補	実使用で見つかった違和感を、具体的なUI・データ仕様へ変える。	自分で繰り返し触り、仮説検証できるプロダクト	プロダクト企画・UX改善	Goodpatch | DX | プロダクト
sample-project-sakura-extension	project-sakura-extension	事実	Sakura Editorで文字化けしにくいMD変換を、選択式の拡張機能にする	実例	私生活	SJIS・UTF-8の非対応文字を扱い、除外・変換・検出結果表示を選べるようにする。	Chrome拡張 | JavaScript | 文字コード | 業務改善	単発		Sakura Editorでの文字コードエラーに対し、MD変換時の非対応文字の変換・除外を選択式にし、弾いた文字を表示する機能を検討・実装した	2026年6月	仕様設計・実装	自分	実務上のコピー＆ペースト事故を減らすツールの仕様を作った	"Chrome拡張のHTML/CSS/JS
SJIS・UTF-8対応の検討メモ"		期限あり	高い	自分中心	前例なし	裁量あり | 前例なし | 技術・仕組みを扱う | 目的が明確	4	3	3	1	2	0	3	1	3	『変換する』だけでなく、使いたい人が選べて、何が変わったかを確認できることが重要。	全ての文字化けを完全に予測することは難しい。	実際に失敗した文字のケースをテストデータとして保存する。	候補	現場の小さな不便を、選択可能で確認できるツール仕様に変える。	具体的な失敗例を集められる業務改善	業務改善ツール・フロントエンド実装	DX | プロダクト
sample-project-evidence-ledger	project-evidence-ledger	事実	自分の実績を、事実・証拠・条件・提示用メモに分けて残すアプリを設計する	実例	私生活	自己採点ではなく、経験の根拠と発揮条件を蓄積するEvidence Ledgerを設計・実装した。	Evidence Ledger | 個人開発 | キャリア | TSV | UIUX	継続中		受信箱、台帳、整理、発見、出力、TSV入出力を持つ実績台帳アプリを、IndexedDB保存・差分プレビュー・Undo込みで実装した	2026年6月	企画・仕様設計・実装	自分	転職・面接の準備を、自己PRではなく根拠の蓄積から進める基盤を作った	"Evidence LedgerのHTML/CSS/JavaScript
TSV全件・部分更新・復元設計
アプリアイコンとGitHub Pages構成"		余裕あり	高い	自分中心	前例なし	裁量あり | 前例なし | 技術・仕組みを扱う | 文章化が必要	5	3	3	2	3	0	3	2	3	事実、自己観察、仮説、面接用の言い換えを混ぜない設計にする。	分類や評価を増やしすぎると、肝心の記録が止まる。	実際の記録を入れ、検索・整理・出力までの摩擦を観察する。	候補	自己理解を採点ではなく、根拠の蓄積と検証として支えるツールを設計する。	本人が繰り返し使い、要件を更新できる個人プロダクト	キャリア支援プロダクト・情報アーキテクチャ	プロダクト | UX | DX
sample-project-github-pages	project-github-pages	事実	GitHub Pagesで、個人ツールを公開・配布できる形にする	能力・知識	私生活	静的ファイル構成、相対パス、PWAアイコン、iPhone Safari表示を踏まえ、公開状態まで持っていく。	GitHub Pages | デプロイ | PWA | Web	継続中		個人ツールをGitHub Pagesで公開し、アイコン・publicフォルダ・パス・Safari表示などを調整している	2026年6月	実装・公開	自分	ローカルの試作を、スマホでも使える公開ツールへ変えている	"GitHub Pages URL
public/assets構成
PWAアイコン設定"		期限あり	高い	自分中心	例外あり	裁量あり | 技術・仕組みを扱う | 目的が明確	4	2	3	0	1	0	2	1	3	公開後にスマホ実機で見ると、PC上では見えない不具合が出る。	静的ホスティングの制約で、サーバー側の機能は使えない。	公開前チェックを、PC・iPhone Safari・ホーム画面の3環境で固定する。	候補	個人の試作を、実機で使えるWebアプリとして公開・改善する。	静的構成で完結できるプロダクト	フロントエンド実装・デプロイ	DX | プロダクト
sample-project-mobile-input-debug	project-mobile-input-debug	事実	スマホ入力中に画面がずれる不具合を、再現条件から直す	実例	私生活	入力ごとの再レンダリング、画面スクロール、フォーカス喪失などを切り分け、体験として直す。	モバイル | UIUX | デバッグ | 入力フォーム	単発		メモアプリで、スマホ入力時に1文字ごとに画面が上がり入力欄が見えなくなる問題について、原因と修正方針を検討・実装した	2026年6月	不具合分析・実装	自分	機能要件ではなく、実際の入力体験から改善を進めた	"不具合再現の説明
モバイル入力の修正ログ"		期限あり	高い	自分中心	例外あり	裁量あり | 技術・仕組みを扱う | 現場運用あり	4	3	3	0	2	0	2	1	3	見た目の不具合ではなく、『ユーザーが何をしようとして、どこで操作が途切れるか』から見る。	端末・ブラウザ差があり、1環境だけの修正では再発する。	入力フォームの回帰チェック項目を作る。	候補	実使用で起きる操作のつまずきを、再現条件からUI改善へつなげる。	利用環境を実機で確認できるプロダクト	モバイルUX改善・フロントエンドデバッグ	UX | プロダクト
sample-project-json-tsv-design	project-json-tsv-design	事実	JSONとTSVで、壊れにくい個人データの入出力を設計する	能力・知識	私生活	全件バックアップ、部分更新、全置換、差分表示、Undoを分け、空欄による上書きを防ぐ。	JSON | TSV | データ設計 | 安全設計	単発		Evidence Ledgerで、追加・部分更新・全件復元・全置換のTSVフロー、差分プレビュー、__CLEAR__、Undoを設計した	2026年6月	データ設計・実装	自分	スプレッドシートとアプリを行き来しても事故りにくい仕様を作った	"TSV仕様
差分プレビュー
IndexedDBスナップショット"		余裕あり	高い	自分中心	前例なし	裁量あり | 前例なし | 技術・仕組みを扱う | 目的が明確	5	3	3	3	2	0	3	1	3	『できること』より、間違っても戻せることを最初に設計する。	仕様を細かくしすぎると、初回利用の理解負荷が上がる。	初見の人が部分更新を誤解せず使える説明をテストする。	候補	表計算とアプリを行き来するデータを、誤操作から守る入出力設計ができる。	利用者がデータを自分で編集・復元するプロダクト	データUX・情報設計	DX | プロダクト | PM
sample-project-prompt-library	project-prompt-library	事実	プロンプトを、検索・分類・再利用できる個人ナレッジにする	実例	私生活	よく使うプロンプトを、カテゴリ・検索・並び順で整理し、必要な時に取り出せるようにする。	プロンプト | ナレッジ管理 | UIUX | AI	継続中		プロンプトメモの分類整理、タイトル・本文検索、よく使う順・追加順の管理を含む個人ナレッジ管理を扱っている	継続	個人開発・運用	自分	AIとのやりとりを一回性の会話ではなく、再利用資産として扱う	"プロンプトメモUI
検索・並び替えの機能"		余裕あり	高い	自分中心	例外あり	裁量あり | 技術・仕組みを扱う | 文章化が必要	4	2	3	1	3	0	2	2	3	よく使うものほど、記憶ではなく検索と再利用に寄せる。	分類を先に決めすぎると、後から増えた用途が入らなくなる。	使った回数と改善履歴を追加するか検討する。	候補	一回性の思考やプロンプトを、検索できる再利用資産に変える。	反復使用する文章・判断型の業務	ナレッジマネジメント・AIワークフロー	DX | AI
sample-hobby-soccer-analysis	hobby-soccer-analysis	自己観察	サッカーを、戦術・選手・大会文脈から深く見る	習慣	趣味	クラブ・代表・国際大会について、結果だけでなく戦術、選手構成、歴史、強さの理由を調べて考える。	サッカー | 分析 | 戦術 | Jリーグ | 代表	継続中		サッカーについて、クラブ実務だけでなく、代表戦、海外・各国事情、選手・チームの強さを継続して調べている	継続	個人	自分	仕事にも趣味にもつながるドメイン知識を深めている	"サッカー関連の調査・分析メモ
観戦・会話の蓄積"		余裕あり	高い	自分中心	前例なし	裁量あり | 目的が明確	5	1	4	2	3	1	1	1	0	選手個人、戦術、クラブ文化、リーグ構造をつなげると、観戦の解像度が上がる。	知識が増えるほど、目の前の試合を単純に楽しめなくなる時がある。	観戦後に『事実・解釈・次に見たいこと』を3行で残す。	候補	スポーツを、戦術・文化・事業の複数視点から深く読み解く。	一次情報と背景情報を往復できるテーマ	スポーツビジネス・コンテンツリサーチ	スポーツ | リサーチ
sample-hobby-shogi-learning	hobby-shogi-learning	自己観察	将棋を、目標設定と反復学習で上達させる	習慣	趣味	級位者として初段を目標にし、対局・定跡・振り返りを通じて学習を続ける。	将棋 | 学習 | 目標設定 | 振り返り	継続中		将棋で、級位者から初段を目標に、学習テーマと継続方法を考えている	継続	個人	自分	短期の勝敗だけでなく、学習の設計として趣味を続けている	"将棋の目標設定メモ
学習相談の記録"		余裕あり	高い	自分中心	例外あり	裁量あり | 目的が明確	4	2	2	1	2	0	1	1	0	『できない』を能力不足で終わらせず、学習ステップの設計として見ると続けやすい。	振り返りを増やしすぎると、対局量が減る。	1局ごとにテーマを1つだけ選び、次局で試す。	まだ使わない				
sample-hobby-reading	hobby-reading	自己観察	読書から、考え方と言葉のストックをつくる	習慣	趣味	仕事・哲学・心理・文化などを読み、言葉や見方を自分の思考に取り込む。	読書 | 知識 | 言葉 | 思考	継続中		読書を継続し、仕事や自己理解に使える考え方・表現を集めている	継続	個人	自分	短期の実用だけでない知的な基盤をつくっている	"読書メモ
会話・企画への参照"		余裕あり	高い	自分中心	前例なし	裁量あり	5	1	3	0	3	0	0	2	0	すぐに使わない知識でも、後から企画や言葉の土台になる。	読むこと自体が目的になると、出力や経験に接続しにくい。	読後に『今の仕事に接続できる一文』を残す。	まだ使わない				
sample-hobby-hello-project	hobby-hello-project	自己観察	アイドル文化を、作品・メンバー・運営・ファンの文脈から楽しむ	習慣	趣味	BEYOOOOONDS等のハロプロを、楽曲・構成・活動・コミュニティの観点で追う。	ハロプロ | BEYOOOOONDS | カルチャー | ファン	継続中		ハロプロを継続的に追い、楽曲・メンバー構成・ライブ・活動の背景について考えている	継続	個人	自分	好きな文化を、受け身でなく文脈ごと楽しむ習慣がある	"鑑賞・会話の蓄積
イベント・楽曲に関するメモ"		余裕あり	高い	自分中心	例外あり	裁量あり	5	1	4	0	3	1	0	2	0	コンテンツそのものだけでなく、メンバーの変化やグループの物語を見る。	好きな領域ほど、外からの批評や数字を受け取りづらくなることがある。	『好きな理由』を、作品・人・仕組みの3方向から言語化する。	まだ使わない				
